distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_source_intended_proof
20.0,True,10000000,bb84-decoy,BB84DecoyProtocol,105428,28202,0.0028202,,0.01049057,0.00985717,0.01112398,1106,52854,52574,0.0175425391,0.004459836,8.402e-06,0.01035394,0.01042367,0.66666667,1,10543,4.0,0.398107170553,OK,5.4488,68,39,29,0,0,0,1,0,0,0,0,0,14366,7218,7218,0,105754,216,0,0,0,0,0,627,0,1,211740,0,False,False,0,"{""afterpulse_total_count"": 216, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,4.0,0.0,LIM_2014
30.0,True,10000000,bb84-decoy,BB84DecoyProtocol,66752,16234,0.0016234,,0.0106214,0.00981461,0.0114282,709,33320,33432,0.0111228491,0.0027945813,3.1952e-06,0.01062751,0.00967395,0.625,1,6675,6.0,0.251188643151,OK,5.446,28,13,15,0,0,0,1,0,0,0,0,0,9026,4535,4535,0,67085,150,0,0,0,0,0,257,0,1,133632,0,False,False,0,"{""afterpulse_total_count"": 150, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,6.0,0.0,LIM_2014
80.0,True,10000000,bb84-decoy,BB84DecoyProtocol,6761,0,0.0,,0.00695163,0.00466967,0.00923359,47,3454,3307,0.0011318519,0.0002666347,4.001e-07,0.00642364,0.01125704,1.0,1,676,16.0,0.025118864315,ZERO_KEY,5.073,0,0,0,0,0,0,1,0,0,0,0,0,871,434,434,0,6641,14,0,0,0,0,0,4,0,1,13490,0,False,False,0,"{""afterpulse_total_count"": 14, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,16.0,0.0,LIM_2014
90.0,True,10000000,bb84-decoy,BB84DecoyProtocol,4233,0,0.0,,0.010867,0.00726527,0.01446872,46,2129,2104,0.0007050475,0.000177142,3.998e-07,0.01108819,0.00564972,1.0,1,423,18.0,0.015848931925,ZERO_KEY,5.3299,0,0,0,0,0,0,1,0,0,0,0,0,562,282,282,0,4317,10,0,0,0,0,0,4,0,1,8605,0,False,False,0,"{""afterpulse_total_count"": 10, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,18.0,0.0,LIM_2014
40.0,True,10000000,bb84-decoy,BB84DecoyProtocol,42479,8454,0.0008454,,0.00974599,0.00876572,0.01072626,414,21375,21104,0.007088381,0.0017397183,3.2007e-06,0.00933525,0.01293475,0.625,1,4248,8.0,0.158489319246,OK,5.4468,8,4,4,0,0,0,1,0,0,0,0,0,5589,2749,2749,0,42659,100,0,0,0,0,0,115,0,1,85437,0,False,False,0,"{""afterpulse_total_count"": 100, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,8.0,0.0,LIM_2014
50.0,True,10000000,bb84-decoy,BB84DecoyProtocol,26952,3795,0.0003795,,0.01064856,0.00935041,0.01194671,287,13502,13450,0.0044977713,0.0011021534,2.8013e-06,0.01022635,0.01315193,0.71428571,1,2695,10.0,0.1,OK,5.493,7,2,5,0,0,0,1,0,0,0,0,0,3664,1831,1831,0,26866,58,0,0,0,0,0,62,0,1,53976,0,False,False,0,"{""afterpulse_total_count"": 58, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,10.0,0.0,LIM_2014
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,250997,35984,0.0035984,,0.01035072,0.00994707,0.01075437,2598,125962,125035,0.0429596095,0.0073452387,1.35947e-05,0.01024209,0.01089696,0.52941176,1,25100,0.0,1.0,OK,5.8151,434,225,209,0,0,0,1,0,0,0,0,0,35038,17529,17529,0,251391,501,0,0,0,0,0,3278,0,1,503185,0,False,False,0,"{""afterpulse_total_count"": 501, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,0.0,0.0,LIM_2014
10.0,True,10000000,bb84-decoy,BB84DecoyProtocol,161528,21741,0.0021741,,0.01046258,0.0099544,0.01097077,1690,80374,81154,0.0276110396,0.0048311158,9.2012e-06,0.01027418,0.01199835,0.60869565,1,16153,2.0,0.63095734448,OK,5.7721,186,92,94,0,0,0,1,0,0,0,0,0,21998,11105,11105,0,161361,337,0,0,0,0,0,1423,0,1,323271,0,False,False,0,"{""afterpulse_total_count"": 337, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,2.0,0.0,LIM_2014
100.0,True,10000000,bb84-decoy,BB84DecoyProtocol,2654,0,0.0,,0.01130369,0.0065097,0.01609769,30,1367,1287,0.0004432199,0.0001079395,0.0,0.01148482,0.00925926,0.0,1,265,20.0,0.01,ZERO_KEY,5.0659,0,0,0,0,0,0,1,0,0,0,0,0,371,208,208,0,2664,7,0,0,0,0,0,3,0,1,5322,0,False,False,0,"{""afterpulse_total_count"": 7, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,20.0,0.0,LIM_2014
110.0,True,10000000,bb84-decoy,BB84DecoyProtocol,1683,0,0.0,,0.00950683,0.00362096,0.0153927,16,868,815,0.000280833,6.8961e-05,0.0,0.00906149,0.01449275,0.0,1,168,22.0,0.006309573445,ZERO_KEY,6.7161,0,0,0,0,0,0,1,0,0,0,0,0,245,116,116,0,1732,2,0,0,0,0,0,0,0,1,3491,0,False,False,0,"{""afterpulse_total_count"": 2, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,22.0,0.0,LIM_2014
120.0,True,10000000,bb84-decoy,BB84DecoyProtocol,1060,0,0.0,,0.00471698,0.0,0.01097327,5,523,537,0.0001764866,4.4981e-05,0.0,0.00412371,0.01111111,0.0,1,106,24.0,0.003981071706,ZERO_KEY,4.9923,0,0,0,0,0,0,1,0,0,0,0,0,136,74,74,0,1068,6,0,0,0,0,0,2,0,1,2164,0,False,False,0,"{""afterpulse_total_count"": 6, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,24.0,0.0,LIM_2014
130.0,True,10000000,bb84-decoy,BB84DecoyProtocol,635,0,0.0,,0.00629921,0.0,0.01604937,4,318,317,0.0001074218,2.19956e-05,0.0,0.00676819,0.0,0.0,1,64,26.0,0.002511886432,ZERO_KEY,4.9259,0,0,0,0,0,0,1,0,0,0,0,0,88,44,44,0,694,1,0,0,0,0,0,0,0,1,1369,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,26.0,0.0,LIM_2014
60.0,True,10000000,bb84-decoy,BB84DecoyProtocol,16907,2573,0.0002573,,0.00922695,0.00766854,0.01078536,156,8403,8504,0.0028062812,0.0007341266,1.5992e-06,0.00894014,0.01090661,0.5,1,1691,12.0,0.063095734448,OK,9.6044,1,1,0,0,0,0,1,0,0,0,0,0,2236,1111,1111,0,17064,31,0,0,0,0,0,13,0,1,34016,0,False,False,0,"{""afterpulse_total_count"": 31, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,12.0,0.0,LIM_2014
70.0,True,10000000,bb84-decoy,BB84DecoyProtocol,10556,326,3.26e-05,,0.01117848,0.00898492,0.01337203,118,5205,5351,0.0017601257,0.0004384581,0.0,0.01115818,0.01140251,0.0,1,1056,14.0,0.039810717055,OK,5.2103,0,0,0,0,0,0,1,0,0,0,0,0,1437,706,706,0,10653,18,0,0,0,0,0,12,0,1,21337,0,False,False,0,"{""afterpulse_total_count"": 18, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,14.0,0.0,LIM_2014
20.0,False,10000000,bb84-decoy,BB84DecoyProtocol,105958,0,0.0,,0.0,0.0,3.481e-05,0,52895,53063,0.0176030099,0.0045644475,0.0,0.0,0.0,0.0,0,10596,4.0,0.398107170553,ZERO_KEY,5.5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211558,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,4.0,0.0,MA_2005
